condition,created_at,dependency_condition,iteration,marker,missingness_type,model_id,model_key,quadruple_id,status,substrate_run_id,substrate_text
C09_Authorship_Displacement_Self,2026-05-16T05:38:53.275076+00:00,C03_Rhetorical_Form_AIGovernance,3,uncertainty,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q005,skipped_dependency,C09_Authorship_Displacement_Self|gemini_3_1_pro|REPAIR-Q005|iter3,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.801770+00:00,C03_Rhetorical_Form_AIGovernance,1,risk,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q001,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q001|iter1,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.810915+00:00,C03_Rhetorical_Form_AIGovernance,2,risk,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q001,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q001|iter2,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.815807+00:00,C03_Rhetorical_Form_AIGovernance,3,risk,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q001,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q001|iter3,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.822308+00:00,C03_Rhetorical_Form_AIGovernance,1,evidence,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q002,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q002|iter1,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.826257+00:00,C03_Rhetorical_Form_AIGovernance,2,evidence,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q002,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q002|iter2,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.833753+00:00,C03_Rhetorical_Form_AIGovernance,3,evidence,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q002,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q002|iter3,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.843892+00:00,C03_Rhetorical_Form_AIGovernance,1,harm,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q003,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q003|iter1,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.852876+00:00,C03_Rhetorical_Form_AIGovernance,2,harm,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q003,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q003|iter2,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.857526+00:00,C03_Rhetorical_Form_AIGovernance,3,harm,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q003,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q003|iter3,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.863812+00:00,C03_Rhetorical_Form_AIGovernance,1,safe,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q004,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q004|iter1,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.868083+00:00,C03_Rhetorical_Form_AIGovernance,2,safe,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q004,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q004|iter2,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.873386+00:00,C03_Rhetorical_Form_AIGovernance,3,safe,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q004,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q004|iter3,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.878519+00:00,C03_Rhetorical_Form_AIGovernance,1,uncertainty,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q005,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q005|iter1,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.884077+00:00,C03_Rhetorical_Form_AIGovernance,2,uncertainty,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q005,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q005|iter2,
C10_Authorship_Displacement_Other,2026-05-16T07:40:11.890441+00:00,C03_Rhetorical_Form_AIGovernance,3,uncertainty,dependency_invalid,google/gemini-3.1-pro,gemini_3_1_pro,REPAIR-Q005,skipped_dependency,C10_Authorship_Displacement_Other|gemini_3_1_pro|REPAIR-Q005|iter3,
